date,avg_load
9/1/2007,8223.942083
9/2/2007,7883.29625
9/3/2007,8852.232917
9/4/2007,9409.711667
9/5/2007,9534.986458
9/6/2007,9486.525625
9/7/2007,8939.502917
9/8/2007,8601.057917
9/9/2007,8321.98
9/10/2007,9037.422917
9/11/2007,9028.919792
9/12/2007,8909.836667
9/13/2007,8924.698125
9/14/2007,8815.305625
9/15/2007,8162.083333
9/16/2007,7899.118125
9/17/2007,8859.398958
9/18/2007,8972.240208
9/19/2007,8854.086667
9/20/2007,9009.328333
9/21/2007,8885.175
9/22/2007,8494.929792
9/23/2007,8075.103958
9/24/2007,8737.12875
9/25/2007,8757.71875
9/26/2007,8785.454583
9/27/2007,8750.330208
9/28/2007,8682.637083
9/29/2007,7968.401458
9/30/2007,7656.03625
10/1/2007,7768.491667
10/2/2007,8684.615208
10/3/2007,9012.37875
10/4/2007,8697.777083
10/5/2007,8655.802083
10/6/2007,8033.307292
10/7/2007,7647.712292
10/8/2007,8497.728125
10/9/2007,8683.769792
10/10/2007,8615.53125
10/11/2007,8925.1625
10/12/2007,8639.550833
10/13/2007,7953.395833
10/14/2007,7601.82875
10/15/2007,8711.454583
10/16/2007,8999.743333
10/17/2007,8616.313125
10/18/2007,8644.031875
10/19/2007,8779.686875
10/20/2007,7992.793333
10/21/2007,7888.329792
10/22/2007,9023.890833
10/23/2007,8891.890625
10/24/2007,8741.97
10/25/2007,8780.643542
10/26/2007,8730.953333
10/27/2007,8017.292708
10/28/2007,7808.23875
10/29/2007,9060.932292
10/30/2007,8934.797083
10/31/2007,8806.517292
11/1/2007,8848.04375
11/2/2007,8891.014167
11/3/2007,7995.152708
11/4/2007,7682.425417
11/5/2007,8520.856875
11/6/2007,8584.55875
11/7/2007,8753.2125
11/8/2007,8758.939375
11/9/2007,8743.559375
11/10/2007,7941.985208
11/11/2007,7654.025208
11/12/2007,8720.582917
11/13/2007,8922.770833
11/14/2007,8958.661667
11/15/2007,9128.963333
11/16/2007,9180.196667
11/17/2007,8430.135417
11/18/2007,8214.414583
11/19/2007,9440.477917
11/20/2007,9530.771042
11/21/2007,9298.590417
11/22/2007,8931.680625
11/23/2007,8704.255
11/24/2007,8068.071458
11/25/2007,8028.253333
11/26/2007,9094.054167
11/27/2007,8984.083333
11/28/2007,9151.720417
11/29/2007,9240.006042
11/30/2007,8972.7375
12/1/2007,8076.965833
12/2/2007,7822.84625
12/3/2007,9042.522292
12/4/2007,9223.495208
12/5/2007,8975.477083
12/6/2007,9334.938958
12/7/2007,9382.0525
12/8/2007,8383.075625
12/9/2007,8451.502708
12/10/2007,9070.144792
12/11/2007,8960.567917
12/12/2007,8838.360208
12/13/2007,8820.503125
12/14/2007,8871.35625
12/15/2007,8459.983333
12/16/2007,8019.187708
12/17/2007,8738.2925
12/18/2007,8808.33375
12/19/2007,8918.24375
12/20/2007,9045.194792
12/21/2007,9448.29875
12/22/2007,8174.852292
12/23/2007,7448.776875
12/24/2007,7722.623125
12/25/2007,6800.660625
12/26/2007,6975.718125
12/27/2007,7849.714375
12/28/2007,8156.359167
12/29/2007,8085.717708
12/30/2007,7966.731667
12/31/2007,8353.354792
8/1/2009,8901.057708
8/2/2009,8697.169167
8/3/2009,9521.414375
8/4/2009,9777.197708
8/5/2009,9744.202917
8/6/2009,9542.439792
8/7/2009,9409.055625
8/8/2009,9035.840208
8/9/2009,8963.954583
8/10/2009,9836.201458
8/11/2009,9874.377917
8/12/2009,9471.565417
8/13/2009,9383.080833
8/14/2009,9248.515417
8/15/2009,8486.589583
8/16/2009,8035.010625
8/17/2009,8767.697708
8/18/2009,9378.197917
8/19/2009,9389.752292
8/20/2009,9219.55
8/21/2009,8984.253125
8/22/2009,8274.451875
8/23/2009,7819.775208
8/24/2009,8672.053542
8/25/2009,8828.328958
8/26/2009,8946.711042
8/27/2009,8897.253958
8/28/2009,8808.105833
8/29/2009,8120.694583
8/30/2009,7816.363333
8/31/2009,8854.512917
9/1/2009,8953.207292
9/2/2009,8924.155208
9/3/2009,8989.951875
9/4/2009,8676.589375
9/5/2009,7992.871042
9/6/2009,7836.742708
9/7/2009,8888.501667
9/8/2009,8952.257917
9/9/2009,9012.411458
9/10/2009,8944.897917
9/11/2009,8789.270208
9/12/2009,7951.89
9/13/2009,7547.202708
9/14/2009,8469.66625
9/15/2009,8636.20375
9/16/2009,8550.606875
9/17/2009,8698.540625
9/18/2009,8491.707708
9/19/2009,7774.4575
9/20/2009,7512.12625
9/21/2009,8448.239375
9/22/2009,8681.076875
9/23/2009,8459.076667
9/24/2009,8470.484792
9/25/2009,8489.619583
9/26/2009,7908.555417
9/27/2009,7910.351042
9/28/2009,8633.537917
9/29/2009,8683.827708
9/30/2009,8620.846667
10/1/2009,8679.496458
10/2/2009,8454.343333
10/3/2009,8022.514792
10/4/2009,7782.733333
10/5/2009,7722.27875
10/6/2009,8576.051667
10/7/2009,8794.326875
10/8/2009,8833.204167
10/9/2009,8849.5425
