date,trend,seasonal,residual
2006-01-04,7800.71453159238,335.9954281228162,-172.51796252712393
2006-01-05,7975.62112448107,-20.175456219727664,94.06935911940218
2006-01-06,8150.198125218734,13.37982772712681,123.66834559300514
2006-01-07,8323.041591113692,-477.02285607461664,-297.72697047360543
2006-01-08,8491.10772286348,-877.6192351926209,-28.369046628808064
2006-01-09,8650.941758364097,564.5082445748133,-65.55091548773635
2006-01-10,8799.684211485446,417.4840481110692,209.14985585128852
2006-01-11,8883.794767563322,304.3970311481255,669.4422448359783
2006-01-12,8927.093476520347,45.0218748606993,365.1100624620849
2006-01-13,8919.978732651785,55.638327170231115,-30.439759164606585
2006-01-14,8855.075457598929,-491.8635709813794,261.49277909687953
2006-01-15,8750.699923861714,-849.3537425556435,-251.53445246107367
2006-01-16,8659.999788572506,544.9305151587685,-154.99657382444093
2006-01-17,8627.671180850393,348.61363985193975,-115.92529178156474
2006-01-18,8664.922206435052,275.9183547741812,-388.3162353478547
2006-01-19,8751.610213262351,107.48410028693533,-324.6557961658382
2006-01-20,8844.271384383075,95.43583787504308,-228.93524698600595
2006-01-21,8896.278530984478,-504.7595193658431,340.31878663014686
2006-01-22,8909.39665071924,-822.6142721753247,665.295004129337
2006-01-23,8926.858734390302,521.1734489468678,606.8710752280804
2006-01-24,8943.070312101341,289.8019245359471,-87.88638800809713
2006-01-25,8935.514255595806,247.44977264210908,-516.4917883985527
2006-01-26,8904.036696174977,163.50267404863277,-896.8319678838216
2006-01-27,8885.394935524022,132.5788230972606,396.1551944923285
2006-01-28,8949.814201581967,-515.0341968220913,98.72320613910779
2006-01-29,9101.620704415953,-795.6085823857446,-91.96938649953154
2006-01-30,9249.602205899357,497.9741087406613,-256.56830896371866
2006-01-31,9310.326688457008,237.6016541456715,-137.71246360481018
2006-02-01,9284.644628931566,217.8298243766239,808.5545254074168
2006-02-02,9241.634712020646,212.931257813836,941.9628431638084
2006-02-03,9181.883459198434,168.48730962162327,-70.58489002252463
2006-02-04,9086.889557664892,-525.2913167617663,-427.88414236881727
2006-02-05,8964.109739984911,-769.247566630562,-482.69866880243535
2006-02-06,8827.526960005147,477.8775919658012,294.48289009217297
2006-02-07,8731.606838104217,187.76622003328694,-113.304227926561
2006-02-08,8701.06291612702,188.59905425136466,-278.87484251249043
2006-02-09,8698.825017007788,264.31452388403784,263.5212502710692
2006-02-10,8697.198619822362,203.61422498070704,-305.31896184147627
2006-02-11,8697.22274715478,-543.6549777238839,-221.6189885033382
2006-02-12,8712.933598940488,-747.0986817495548,230.82887434784243
