date,seasonal,trend,residual
2010-08-01,-714.0393182859177,9129.08218946887,30.544211817046744
2010-08-02,530.2479404486828,9130.573709701946,218.61397484937152
2010-08-03,919.185783812664,9132.06671955748,-100.34229537014288
2010-08-04,598.2684368444465,9133.561231561902,-66.85841840634748
2010-08-05,669.6187375699868,9135.057258449078,21.848378980936104
2010-08-06,682.1199605423039,9136.554813276063,104.50522618163086
2010-08-07,108.53793426722432,9138.053908846265,44.36357388651231
2010-08-08,-269.5815105588879,9139.554557270478,99.85341128840992
2010-08-09,445.1352815332657,9141.05677009644,142.15419837029367
2010-08-10,911.0072343502154,9142.560558056704,-90.9942504069204
2010-08-11,477.6973752978962,9144.065931085594,-24.26788938348909
2010-08-12,503.74553534469305,9145.572899352184,141.32427330312385
2010-08-13,291.61536029876163,9147.081473009535,89.9923336917036
2010-08-14,-432.9899500282999,9148.591661340442,9.508496687856676
2010-08-15,-1006.4440484236673,9150.103472914208,128.72453350945943
2010-08-16,-301.644940176114,9151.616915913277,295.64427426283874
2010-08-17,367.9230992895176,9153.131997411385,94.20094529909876
2010-08-18,281.58882454318564,9154.648722626303,89.52661983051075
2010-08-19,-296.97094508995417,9156.167095755534,-24.652817665581097
2010-08-20,-240.34380263189175,9157.687120414026,7.731890217866749
2010-08-21,-547.0092207037662,9159.208800195693,19.415212508074543
2010-08-22,-928.6955658692636,9160.732138639703,288.08946922956056
2010-08-23,-96.45596803141642,9162.257138773351,512.3925792580649
2010-08-24,17.49222385834007,9163.783801380512,89.75772476114798
2010-08-25,-12.116486840055446,9165.312124020336,156.00227981972057
2010-08-26,229.1758892611612,9166.842102901495,128.60554983734073
2010-08-27,69.6164334391021,9168.373733129283,124.77462543161346
2010-08-28,-428.383456172113,9169.90700877188,71.53957240023374
2010-08-29,-924.8804122609135,9171.441922994272,213.3661972666414
2010-08-30,-353.441577750555,9172.978468158628,306.1897765919275
2010-08-31,1.9265823708535252,9174.51663500055,-128.74946737140272
