date,trend
2007-12-01,8960.94423666112
2007-12-02,8961.289865536219
2007-12-03,8961.636223453203
2007-12-04,8961.983310519325
2007-12-05,8962.331127359086
2007-12-06,8962.679674730034
2007-12-07,8963.028953245652
2007-12-08,8963.378964097146
2007-12-09,8963.729707923912
2007-12-10,8964.081182513879
2007-12-11,8964.433384197797
2007-12-12,8964.786309056473
2007-12-13,8965.139952723614
2007-12-14,8965.494310385448
2007-12-15,8965.849376897071
2007-12-16,8966.2051457591
2007-12-17,8966.56160805924
2007-12-18,8966.918753711776
2007-12-19,8967.276570978882
2007-12-20,8967.635046172663
2007-12-21,8967.994165262471
2007-12-22,8968.353913532217
2007-12-23,8968.714273831869
2007-12-24,8969.075226301415
2007-12-25,8969.436750067067
2007-12-26,8969.798823561643
2007-12-27,8970.16142461737
2007-12-28,8970.524530585542
2007-12-29,8970.88811896409
2007-12-30,8971.25216737426
2007-12-31,8971.616653401661
2008-01-01,8971.981554329659
2008-01-02,8972.346846998242
2008-01-03,8972.712507820872
2008-01-04,8973.078511928334
2008-01-05,8973.444832567364
2008-01-06,8973.811441136666
2008-01-07,8974.17830787794
2008-01-08,8974.545403860198
2008-01-09,8974.91270161092
2008-01-10,8975.280175172817
2008-01-11,8975.64779765293
2008-01-12,8976.015539319493
2008-01-13,8976.383366557728
2008-01-14,8976.751242183243
2008-01-15,8977.119127042728
2008-01-16,8977.486982019253
2008-01-17,8977.854770028018
2008-01-18,8978.222455887695
2008-01-19,8978.590005191165
2008-01-20,8978.957382414685
2008-01-21,8979.324550853593
2008-01-22,8979.69147490307
2008-01-23,8980.058121161373
2008-01-24,8980.42445811768
2008-01-25,8980.790455651406
2008-01-26,8981.156086271449
2008-01-27,8981.521324636431
2008-01-28,8981.886144469121
2008-01-29,8982.250518533556
2008-01-30,8982.61442010736
2008-01-31,8982.977823219742
2008-02-01,8983.340702988025
2008-02-02,8983.70303638643
2008-02-03,8984.064801974182
2008-02-04,8984.425979365755
2008-02-05,8984.786550977402
2008-02-06,8985.146501532296
